name;id;country;;;;
AFRIWOOD INDUSTRIES;CG/PNR/13B947;Congo;;;;
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Congo;;;;
BOIS KASSA;CG/UNKNOWN/0001;Congo;;;;
BPL;CG/UNKNOWN/0002;Congo;;;;
BTC SARL;CG/UNKNOWN/0003;Congo;;;;
CIB;CG/OUE/05B179;Congo;;;;
CIBN;CG/UNKNOWN/0004;Congo;;;;
CITB QUATOR;CG/UNKNOWN/0005;Congo;;;;
COFIBOIS;CG/UNKNOWN/0006;Congo;;;;
CONGO DEJIA WOOD INDUSTRY;CG/UNKNOWN/0007;Congo;;;;
COTRANS;CG/UNKNOWN/0008;Congo;;;;
Entreprise Christelle;CG/UNKNOWN/0009;Congo;;;;
ETBM SARL;CG/UNKNOWN/0010;Congo;;;;
FORALAC;CG/PNR/10B1363;Congo;;;;
IFO;CG/UNKNOWN/0011;Congo;;;;
KIMBAKALA ET CIE;CG/UNKNOWN/0012;Congo;;;;
LIKOUALA TIMBER;CG/UNKNOWN/0013;Congo;;;;
MOKABI SA;CG/IMP/03B001;Congo;;;;
SADEF-CONGO;CG/UNKNOWN/0014;Congo;;;;
SEFYD;CG/BZV/07B428;Congo;;;;
SFIB;CG/UNKNOWN/0015;Congo;;;;
SICOFOR;CG/PNR/10B1907;Congo;;;;
SIFCO;CG/BZV/04B2198;Congo;;;;
SIPAM;CG/UNKNOWN/0016;Congo;;;;
SOFIA;CG/UNKNOWN/0017;Congo;;;;
SOFIL;CG/UNKNOWN/0018;Congo;;;;
SPIEX;CG/UNKNOWN/0019;Congo;;;;
TAMAN INDUSTRIE;CG/UNKNOWN/0020;Congo;;;;
THANRY-CONGO;CG/BZV/11B2841;Congo;;;;
WANG SAM COMPAGNY;CG/UNKNOWN/0021;Congo;;;;
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;Democratic Republic of the Congo;;;;
BEGO CONGO;DRC/UNKNOWN/0002;Democratic Republic of the Congo;;;;
CFE (ex. SICOBOIS);DRC/UNKNOWN/0003;Democratic Republic of the Congo;;;;
CFT;DRC/UNKNOWN/0004;Democratic Republic of the Congo;;;;
COMPAGNIE DES BOIS;DRC/UNKNOWN/0005;Democratic Republic of the Congo;;;;
COTREFOR;DRC/UNKNOWN/0006;Democratic Republic of the Congo;;;;
ENRA;DRC/UNKNOWN/0007;Democratic Republic of the Congo;;;;
FORABOLA;DRC/UNKNOWN/0008;Democratic Republic of the Congo;;;;
ITB;DRC/UNKNOWN/0009;Democratic Republic of the Congo;;;;
LA FORESTIERE;DRC/UNKNOWN/0010;Democratic Republic of the Congo;;;;
LA FORESTIERE DU LAC;DRC/UNKNOWN/0011;Democratic Republic of the Congo;;;;
MAISON NBK SERVICE;DRC/UNKNOWN/0012;Democratic Republic of the Congo;;;;
MEGA BOIS;DRC/UNKNOWN/0013;Democratic Republic of the Congo;;;;
MOTEMA;DRC/UNKNOWN/0014;Democratic Republic of the Congo;;;;
RIBA CONGO;DRC/UNKNOWN/0015;Democratic Republic of the Congo;;;;
SAFO;DRC/UNKNOWN/0016;Democratic Republic of the Congo;;;;
SCIBOIS;DRC/UNKNOWN/0017;Democratic Republic of the Congo;;;;
SCTP;DRC/UNKNOWN/0018;Democratic Republic of the Congo;;;;
SEFOCO;DRC/UNKNOWN/0019;Democratic Republic of the Congo;;;;
SICOBOIS;DRC/UNKNOWN/0020;Democratic Republic of the Congo;;;;
SIFORCO;DRC/UNKNOWN/0021;Democratic Republic of the Congo;;;;
SODEFOR;DRC/UNKNOWN/0022;Democratic Republic of the Congo;;;;
SOMICONGO;DRC/UNKNOWN/0023;Democratic Republic of the Congo;;;;
TALA TINA;DRC/UNKNOWN/0024;Democratic Republic of the Congo;;;;
ALPICAM;;Cameroon;;;;
ANAFOR;;Cameroon;;;;
BOTAC;;Cameroon;;;;
CAFECO;;Cameroon;;;;
CAMBOIS;;Cameroon;;;;
CAMTRANS;;Cameroon;;;;
CANABOIS;;Cameroon;;;;
CFC;;Cameroon;;;;
CFK;;Cameroon;;;;
CIBC;;Cameroon;;;;
COFA;;Cameroon;;;;
Com. Dimako;;Cameroon;;;;
CUF;;Cameroon;;;;
DINO&FILS;;Cameroon;;;;
EDEATECH;;Cameroon;;;;
EFFA;;Cameroon;;;;
EFJK;;Cameroon;;;;
ENEF;;Cameroon;;;;
ENJC;;Cameroon;;;;
ETS KAKOUANDE;;Cameroon;;;;
FILIERE BOIS;;Cameroon;;;;
FIPCAM;;Cameroon;;;;
GRACOVIR;;Cameroon;;;;
Green Valley Inc.;;Cameroon;;;;
GRUMCAM;;Cameroon;;;;
Habitat 2000;;Cameroon;;;;
IBC;;Cameroon;;;;
INC;;Cameroon;;;;
La cotiere forestiere;;Cameroon;;;;
LA ROSIERE;;Cameroon;;;;
LFM;;Cameroon;;;;
LOREMA;;Cameroon;;;;
MMG;;Cameroon;;;;
MPACKO;;Cameroon;;;;
Multi-Services Plus;;Cameroon;;;;
PALLISCO;;Cameroon;;;;
PLACAM;;Cameroon;;;;
PM SARL;;Cameroon;;;;
SAB;;Cameroon;;;;
SABM;;Cameroon;;;;
SBAC;;Cameroon;;;;
SCABOIS;;Cameroon;;;;
SCIEB;;Cameroon;;;;
SCTB;;Cameroon;;;;
SEBAC;;Cameroon;;;;
SEBC;;Cameroon;;;;
SEFAC;;Cameroon;;;;
SEFECCAM;;Cameroon;;;;
SEPFCO;;Cameroon;;;;
SFB;;Cameroon;;;;
SFCS;;Cameroon;;;;
SFDB;;Cameroon;;;;
SFEES;;Cameroon;;;;
SFF;;Cameroon;;;;
SFID;;Cameroon;;;;
SFIL;;Cameroon;;;;
SIBM;;Cameroon;;;;
SIENCAM;;Cameroon;;;;
SIM;;Cameroon;;;;
SN COCAM;;Cameroon;;;;
SOCIB;;Cameroon;;;;
SODETRANCAM;;Cameroon;;;;
SOFOHNY;;Cameroon;;;;
STBK;;Cameroon;;;;
STJJY;;Cameroon;;;;
TONKAM&Cie;;Cameroon;;;;
BAYONNE;;Gabon;;;;
Bois et Scierie de l'Ogooue Mitzic-Nord;;Gabon;;;;
Bois et Scierie de l'Ogooue;;Gabon;;;;
BOKOUE LOBE;;Gabon;;;;
BONUS HARVEST/CIPLAC;;Gabon;;;;
BORDAMUR TOUJOURS VERT;;Gabon;;;;
Bordamur/Toujours Vert;;Gabon;;;;
BSO Ogooue Mitzic;;Gabon;;;;
BSO Ogooue Ndjole;;Gabon;;;;
CBG Gamba;;Gabon;;;;
CBG Mandji;;Gabon;;;;
CFA/DLH;;Gabon;;;;
CIFHO Leke;;Gabon;;;;
CIFHO Moyabi;;Gabon;;;;
Compagnie Africaine d'Exploitation du Bois;;Gabon;;;;
COMPAGNIE DES BOIS DU GABON;;Gabon;;;;
COMPAGNIE FORESTIERE DES ABEILLES;;Gabon;;;;
Compagnie Forestiere du Haut Ogooue;;Gabon;;;;
CORA Wood;;Gabon;;;;
CORA WOOD - UFA 3;;Gabon;;;;
CORA WOOD GABON;;Gabon;;;;
CORA Wood LASSIO;;Gabon;;;;
Exploitation Forestiere de Moanda;;Gabon;;;;
Exploitation Gabonaise de Grumes;;Gabon;;;;
Export Negoce du Bois;;Gabon;;;;
FOREEX;;Gabon;;;;
Forestiere d'Exploitation et d'Exportation;;Gabon;;;;
Forestry Development Gabon;;Gabon;;;;
GABON ALONG SARL;;Gabon;;;;
Gabon Export Bois-ASSALA-Compagnie Bois Kota;;Gabon;;;;
GAW-Ngounie;;Gabon;;;;
GAW/GSEZW-HO/OI;;Gabon;;;;
GEB-ASSALA-CBK;;Gabon;;;;
GIB-Tale;;Gabon;;;;
GIE OKANO;;Gabon;;;;
GIW-Estuaire;;Gabon;;;;
GIW-Minvoul;;Gabon;;;;
GIW/GSEZW-Oyem;;Gabon;;;;
Grand Bois;;Gabon;;;;
GRANDE MAYUMBA;;Gabon;;;;
GSEZ-Olam Zolende;;Gabon;;;;
GSEZ/GSEZW-Sud Ngounie;;Gabon;;;;
GSEZW-Lambarene Lacs;;Gabon;;;;
HUA JIA;;Gabon;;;;
IBNG Lambarene;;Gabon;;;;
IMENOU PLATEAU;;Gabon;;;;
Industrie Forestiere de Lambarene;;Gabon;;;;
Leroy;;Gabon;;;;
LEROY GABON;;Gabon;;;;
Mitzic Exploitation Forestiere;;Gabon;;;;
MONT PELE BOIS;;Gabon;;;;
New Oriental International Investiment;;Gabon;;;;
OBANGUE;;Gabon;;;;
OLAM GABON / MOMBA;;Gabon;;;;
OLAM GABON Makokou;;Gabon;;;;
OSSIE Industrie;;Gabon;;;;
PENG XIN SARL;;Gabon;;;;
PRECIOUS WOOD GABON;;Gabon;;;;
PRECIOUS WOOD/ex CEB;;Gabon;;;;
Rain Forest Management;;Gabon;;;;
Regroupement FOREEX OKANO/TCBG;;Gabon;;;;
RIMBUNAN HIJAU GABON;;Gabon;;;;
ROUGIER GABON;;Gabon;;;;
Rougier Haut Abanga;;Gabon;;;;
Rougier Ogooue-Ivindo;;Gabon;;;;
SBL/TRB;;Gabon;;;;
SEEF;;Gabon;;;;
SFIK;;Gabon;;;;
SNBG-OVG;;Gabon;;;;
Societe des Bois de Lastourville/ Transbois;;Gabon;;;;
Societe Equatoriale d'Exploitation Forestiere;;Gabon;;;;
Societe Forestiere Industrielle de Koulamoutou;;Gabon;;;;
Societe Import Export Bois;;Gabon;;;;
Societe Nationale des Bois du Gabon;;Gabon;;;;
Societe Taurian Ressource Gabon;;Gabon;;;;
Societe Transformation Integree Bois Gabon;;Gabon;;;;
STIBG;;Gabon;;;;
SUNLY GABON CENTRE SUD;;Gabon;;;;
SUNLY OKONDJA;;Gabon;;;;
SUNRY GABON Nord Est;;Gabon;;;;
SUNRY GABON NORD-EST;;Gabon;;;;
TALIBOIS;;Gabon;;;;
TBNI;;Gabon;;;;
Transport Bois Negoce International;;Gabon;;;;
Tropical Logs Production;;Gabon;;;;
